Code,Fund_Name,latest_price,fund_house,currency,Fund_class_inception_date,Fund_size_Million_currency,Fund_size_Million_amount,Fund_size_Million_date,HSBC_risk_level,fiftytwoweek_range_currency,fiftytwoweek_range_min,fiftytwoweek_range_max,HSBC_investment_category,Investment_style,Investment_instrument,Annualised_return,Morningstar_rating_out_of_five,HSBC_initial_charge,Annual_management_fee_max,HSBC_min_investment_amount_unit,HSBC_min_investment_amount,HSBC_min_investment_amount_USD,Annualised_returns: 1 month,Annualised_returns: 3 month,Annualised_returns: 6 month,Annualised_returns: 1 year,Annualised_returns: 3 year,Annualised_returns: 5 year,Annualised_returns: 10 year,Asset allocation: Stock,Asset allocation: Bond,Asset allocation: Cash,Asset allocation: Cash & Equivalents,Asset allocation: Derivative,Asset allocation: Others,Financial Services,Real Estate,Corporate,Healthcare,Utilities,Basic Materials,Communication Services,Energy,Consumer Cyclical,Industrials,Securitized,Government,Consumer Defensive,Technology,United States,Latin America,Canada,United Kingdom,Europe - Emerging,Europe - ex Euro,Eurozone,Australasia,Asia - Developed,Asia - Emerging,Middle East,Japan,Africa,Equity_holdings_sector_max,Equity_holdings_country_max
U62566,HSBC GIF-Managed Solution-Asia Focused Growth (Class AC-USD) U62566,14.115,HSBC Global Asset Management  (Hong Kong) Limited,USD,2013-03-15,USD,40.25,2022-01-25,4,USD,14.115,17.339,Multi-Asset - Asia,Value,"Stock, Bond, Cash, Others",0.1161,4.0,0.03,0.015,USD,1000.0,1000.0,-0.031,-0.0742999999999999,-0.1026,-0.1585,0.0751999999999999,0.0712,,0.7731,0.1987,0.0337,0.0353,0.0,0.0,0.1189,0.0161,0.0476,0.0299,0.0056,0.016,0.2484,0.0091,0.053,0.0,0.0,0.1519,0.0482,0.2279,0.0,0.0055,0.0,0.0,0.0018,0.0,0.0074,0.0001,0.4089,0.1225,0.0002,0.0,0.0045,Communication Services,Asia - Developed
U62908,Amundi HK - Disruptive Opportunities Equity (Class Classic-HKD-MD-C) U62908,15.96,Amundi Hong Kong Limited,HKD,2017-09-11,USD,154.34,2021-12-31,5,HKD,15.96,20.21,Global Equity - Broad,Growth,"Stock, Cash, Others",0.2831,5.0,0.03,0.0165,HKD,10000.0,1300.0,-0.1408,-0.1951999999999999,-0.1566,-0.1754,0.1759,,,0.9553,0.0,0.0,0.0,0.0,0.0477,0.1032,0.0447,0.0,0.1638,0.0,0.0041,0.0341,0.0,0.0701,0.1401,0.0,0.0,0.0125,0.3824,0.692,0.0,0.0144,0.015,0.0,0.0,0.033,0.0,0.0363,0.1013,0.0,0.063,0.0,Technology,United States
U62907,Amundi HK - Disruptive Opportunities Equity (Class Classic-USD-MD-C) U62907,16.01,Amundi Hong Kong Limited,USD,2017-09-11,USD,154.34,2021-12-31,5,USD,16.01,20.25,Global Equity - Broad,Growth,"Stock, Cash, Others",0.2845,5.0,0.03,0.0165,USD,1000.0,1000.0,-0.1384999999999999,-0.1959,-0.1575,-0.1783,0.1787,,,0.9553,0.0,0.0,0.0,0.0,0.0477,0.1032,0.0447,0.0,0.1638,0.0,0.0041,0.0341,0.0,0.0701,0.1401,0.0,0.0,0.0125,0.3824,0.692,0.0,0.0144,0.015,0.0,0.0,0.033,0.0,0.0363,0.1013,0.0,0.063,0.0,Technology,United States
U62563,HSBC GIF-MANAGED SOLUTION-ASIA FOCUSED GROWTH (CLASS ACO-AUDH) U62563,14.102,HSBC Global Asset Management  (Hong Kong) Limited,AUD,2013-03-15,USD,40.25,2022-01-25,5,AUD,14.102,17.485,Multi-Asset - Asia,Value,"Stock, Bond, Cash, Others",0.0996,,0.03,0.015,AUD,1500.0,1065.0,-0.0321,-0.0764,-0.1069,-0.1664,0.0593,0.0596,,0.7731,0.1987,0.0337,0.0353,0.0,0.0,0.1189,0.0161,0.0476,0.0299,0.0056,0.016,0.2484,0.0091,0.053,0.0,0.0,0.1519,0.0482,0.2279,0.0,0.0055,0.0,0.0,0.0018,0.0,0.0074,0.0001,0.4089,0.1225,0.0002,0.0,0.0045,Communication Services,Asia - Developed
U62913,Amundi HK - Disruptive Opportunities Equity (Class Classic-CAD-H-MD-C) U62913,22.65,Amundi Hong Kong Limited,CAD,2018-08-06,USD,154.34,2021-12-31,5,CAD,22.65,28.74,Global Equity - Broad,Growth,"Stock, Cash, Others",0.4894,,0.03,0.0165,CAD,1000.0,790.0,-0.1394,-0.1976,-0.1589,-0.1818,0.367,,,0.9553,0.0,0.0,0.0,0.0,0.0477,0.1032,0.0447,0.0,0.1638,0.0,0.0041,0.0341,0.0,0.0701,0.1401,0.0,0.0,0.0125,0.3824,0.692,0.0,0.0144,0.015,0.0,0.0,0.033,0.0,0.0363,0.1013,0.0,0.063,0.0,Technology,United States
U63037,HSBC CIT - HSBC EVOLVING ASIA EQUITY FUND (CLASS AC-HKD) U63037,9.731,HSBC Global Asset Management  (Hong Kong) Limited,HKD,2020-11-25,USD,44.03,2022-01-25,4,HKD,9.731,12.559,Asia Pacific Ex-Japan Equity - Broad,Growth,"Stock, Bond, Cash, Others",0.0,,0.03,0.015,HKD,10000.0,1300.0,-0.0819,-0.1265,-0.1229,-0.1896,,,,0.925,0.0017,0.073,0.0,0.0,0.0003,0.0862,0.0,0.0,0.1293,0.0,0.0,0.2448,0.0041,0.1689,0.0,0.0,0.0,0.0454,0.2458,0.0749,0.0,0.0,0.0,0.0,0.0,0.1833,0.0,0.2893,0.3358,0.0,0.0417,0.0,Technology,Asia - Emerging
U62564,HSBC GIF-MANAGED SOLUTION-ASIA FOCUSED GROWTH (CLASS ACO-EURH) U62564,12.203,HSBC Global Asset Management  (Hong Kong) Limited,EUR,2013-03-15,USD,40.25,2022-01-25,4,EUR,12.203,15.163,Multi-Asset - Asia,Value,"Stock, Bond, Cash, Others",0.0935,,0.03,0.015,EUR,850.0,952.0,-0.0323,-0.0773,-0.1077999999999999,-0.1682999999999999,0.0538999999999999,0.0469,,0.7731,0.1987,0.0337,0.0353,0.0,0.0,0.1189,0.0161,0.0476,0.0299,0.0056,0.016,0.2484,0.0091,0.053,0.0,0.0,0.1519,0.0482,0.2279,0.0,0.0055,0.0,0.0,0.0018,0.0,0.0074,0.0001,0.4089,0.1225,0.0002,0.0,0.0045,Communication Services,Asia - Developed
U62910,Amundi HK - Disruptive Opportunities Equity (Class Classic-GBP-H-MD-C) U62910,13.94,Amundi Hong Kong Limited,GBP,2018-08-06,USD,154.34,2021-12-31,5,GBP,13.94,17.72,Global Equity - Broad,Growth,"Stock, Cash, Others",0.261,,0.03,0.0165,GBP,650.0,871.0,-0.1401,-0.1976,-0.161,-0.1844,0.1567,,,0.9553,0.0,0.0,0.0,0.0,0.0477,0.1032,0.0447,0.0,0.1638,0.0,0.0041,0.0341,0.0,0.0701,0.1401,0.0,0.0,0.0125,0.3824,0.692,0.0,0.0144,0.015,0.0,0.0,0.033,0.0,0.0363,0.1013,0.0,0.063,0.0,Technology,United States
U40093,HSBC Asia ex Japan Equity Fund (Class AD) U40093,76.287,HSBC Global Asset Management  (Hong Kong) Limited,USD,1974-07-31,USD,748.75,2022-01-25,4,USD,75.899,95.549,Asia Pacific Ex-Japan Equity - Broad,Blend,"Stock, Cash, Others",0.1456,3.0,0.03,0.015,USD,1000.0,1000.0,-0.0283999999999999,-0.0655999999999999,-0.1061,-0.1666,0.1038,0.0951999999999999,0.0605999999999999,0.9932,0.0,0.0076,0.0,0.0,0.0,0.1709,0.0145,0.0,0.0607,0.0064,0.0151,0.2489,0.0098,0.0747,0.0,0.0,0.0,0.0733,0.3189,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.5187,0.4667,0.0,0.0,0.0,Technology,Asia - Developed
U62679,MRF-HSBC Jintrust Large Cap Eq Sec Investment  FD(Class H DIST CASH) U62679,2.0237,HSBC Jintrust Fund Management Company Limited,CNY,2015-12-29,USD,333.5,2021-09-30,5,CNY,2.0213,2.5126,Mutual Recognition of Funds - Equity/Mixed Asset,Growth,"Stock, Bond, Cash, Others",0.2606,4.0,0.03,0.015,CNY,10000.0,1600.0,-0.0471,-0.05,-0.0628,-0.165,0.2128999999999999,0.1318,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Financial Services,United States
